clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
92,66.3167,-179.1667,1553551321,4031742,941.57,76,995.22,995.22,5.85,5.85,5.85,Egvekinot,,,,,,RU,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",23.0003,,5.06
0,-24.8667,113.6333,1553547600,2074865,,64,1009.0,,75.2,75.2,75.2,Carnarvon,,,,,,AU,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",130.0,,5.82
0,-35.0248,117.8836,1553547600,2077963,,93,1023.0,,53.6,53.6,53.6,Albany,,,,,,AU,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",60.0,,9.17
90,62.4541,-114.3774,1553551074,6185377,,74,1010.0,,34.29,36.0,33.01,Yellowknife,,,,,,CA,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",300.0,,11.41
0,18.6201,-100.3453,1553551324,3981460,888.77,22,1007.42,1007.42,89.91,89.91,89.91,Coahuayana,,,,,,MX,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01d'}]",252.0,,2.93
76,3.0707,172.7902,1553551324,2110227,1012.05,100,1012.1,1012.1,82.44,82.44,82.44,Butaritari,,,,,,KI,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",72.0003,,13.22
0,-17.8776,36.8902,1553547600,1028434,,88,1011.0,,77.0,77.0,77.0,Quelimane,,,,,,MZ,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",138.5,,3.49
92,20.2009,1.014,1553551325,2449893,955.89,34,1013.98,1013.98,78.84,78.84,78.84,Tessalit,,,,,,ML,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",339.0,,5.95
88,-33.5906,26.891,1553551168,964432,,88,1020.0,,66.0,66.0,66.0,Port Alfred,,,0.28,,,ZA,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",197.0,1.79,1.01
90,60.7922,-161.7559,1553547360,5880568,,81,1008.0,,43.25,44.6,42.8,Bethel,,,,,,US,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",150.0,17.5,28.86
40,-54.807,-68.3074,1553547600,3833367,,81,1013.0,,44.6,44.6,44.6,Ushuaia,,,,,,AR,"[{'id': 521, 'main': 'Rain', 'description': 'proximity shower rain', 'icon': '09d'}]",230.0,19.0,31.09
76,-5.5667,32.8833,1553551328,149929,881.17,97,1010.74,1010.74,63.63,63.63,63.63,Kisanga,,,6.855,,,TZ,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",196.0,,2.15
88,-13.1945,49.05,1553551328,1082243,986.29,99,1009.78,1009.78,73.53,73.53,73.53,Ambilobe,,,2.66,,,MG,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",127.5,,3.15
68,52.1114,26.1026,1553551328,623549,992.45,69,1009.78,1009.78,38.97,38.97,38.97,Pinsk,,,0.16,,,BY,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",315.0,,7.74
20,-33.6445,115.3489,1553551219,2075265,,44,1012.0,,54.61,57.0,51.01,Busselton,,,,,,AU,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",75.5003,,19.71
80,-23.1203,-134.9692,1553551329,4030556,1015.81,100,1015.82,1015.82,78.57,78.57,78.57,Rikitea,,,0.33,,,PF,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",21.5003,,9.42
12,67.4667,78.7,1553551329,1489853,1012.93,84,1016.62,1016.62,24.21,24.21,24.21,Tazovskiy,,,,,,RU,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",213.0,,14.45
75,-33.918,25.5701,1553547600,964420,,93,1021.0,,62.6,62.6,62.6,Port Elizabeth,,,,,,ZA,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",240.0,,4.7
0,27.315,-102.3968,1553551330,3994534,858.77,39,1012.94,1012.94,77.49,77.49,77.49,Ocampo,,,0.105,,,MX,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100.5,,9.19
